"","X1","DATEym","Freq.101 - 200 Employees","Freq.15 - 100 Employees","Freq.201 - 500 Employees","Freq.501+ Employees","Freq.NULL.x","Freq.Under 15 Employees","Freq.Unknown Number Of Employees","Freq.Elected Official/Fed. Govt","Freq.Elected Official/State-Local","Freq.Federal Government Agency","Freq.Joint Apprenticeship","Freq.NULL.y","Freq.Other","Freq.Private College/University","Freq.Private College/University (Inactive Code)","Freq.Private Elem/Secondary School","Freq.Private Employer","Freq.Private Employment Agency","Freq.Public College/University","Freq.Public Elem/Secondary School","Freq.Public Employment Agency","Freq.State/Local Govt","Freq.Union","Freq.CP Sex Not Available/Applicable","Freq.Female","Freq.Male","Freq.NULL","count","prop.fem","prop.priv","DATE.x","FRBKCLMCIM","DATE.y","LREM25TTUSM156S","DATEymx","row","seas_count"
"11",11,"1996-08",44,199,36,99,1,0,11,0,1,2,0,0,1,1,0,0,350,0,4,1,0,29,1,0,345,45,0,390,0.884615384615385,0.897435897435897,1996-08-01,0.27964,1996-08-01,80.5148077295341,"1996-08",11,375.622569444444
"12",12,"1996-09",29,120,19,68,2,0,16,0,0,1,0,0,1,3,0,0,219,0,2,1,0,26,1,0,233,21,0,254,0.917322834645669,0.862204724409449,1996-09-01,0.0592,1996-09-01,80.4302475173903,"1996-09",12,269.728819444444
"13",13,"1996-10",50,132,33,81,3,1,8,0,1,0,0,0,1,0,1,1,275,0,0,0,1,27,1,0,282,26,0,308,0.915584415584416,0.892857142857143,1996-10-01,-0.03781,1996-10-01,80.5760321814198,"1996-10",13,284.187152777778
"14",14,"1996-11",30,117,24,46,1,0,11,0,2,0,0,0,4,0,0,1,210,0,0,3,0,8,1,0,198,31,0,229,0.864628820960699,0.91703056768559,1996-11-01,0.01369,1996-11-01,80.4409601480056,"1996-11",14,236.549652777778
"15",15,"1996-12",35,142,22,74,3,0,8,0,3,0,0,0,1,1,0,0,248,2,3,3,0,22,1,0,259,25,0,284,0.911971830985915,0.873239436619718,1996-12-01,0.10299,1996-12-01,80.4451522455283,"1996-12",15,311.157986111111
"16",16,"1997-01",24,142,36,72,2,0,17,0,1,0,0,0,0,1,0,0,268,0,2,1,0,19,1,0,270,23,0,293,0.921501706484642,0.914675767918089,1997-01-01,0.05786,1997-01-01,80.5077501595881,"1997-01",16,303.722569444444
"17",17,"1997-02",35,126,38,75,1,2,6,0,0,0,0,0,3,0,0,0,258,1,1,2,0,17,1,0,254,29,0,283,0.897526501766785,0.911660777385159,1997-02-01,0.15958,1997-02-01,80.4331461557282,"1997-02",17,298.166319444444
"18",18,"1997-03",46,131,36,81,1,1,8,0,1,0,0,0,1,1,0,0,270,2,3,4,0,22,0,0,274,30,0,304,0.901315789473684,0.888157894736842,1997-03-01,0.25786,1997-03-01,80.6744185021619,"1997-03",18,281.099652777778
"19",19,"1997-04",35,151,34,86,2,2,8,0,0,0,0,0,2,1,0,0,271,1,1,4,0,38,0,0,290,28,0,318,0.911949685534591,0.852201257861635,1997-04-01,0.58278,1997-04-01,80.7402822503214,"1997-04",19,311.949652777778
"20",20,"1997-05",38,113,30,90,1,3,10,0,0,0,0,0,2,1,0,0,241,0,3,5,0,30,3,0,255,30,0,285,0.894736842105263,0.845614035087719,1997-05-01,0.59271,1997-05-01,80.6479308148789,"1997-05",20,289.201736111111
"21",21,"1997-06",28,122,42,73,2,0,6,0,1,0,0,0,2,1,0,0,222,0,3,4,0,40,0,0,248,25,0,273,0.908424908424908,0.813186813186813,1997-06-01,0.34468,1997-06-01,80.8843262178044,"1997-06",21,269.426736111111
"22",22,"1997-07",31,150,29,102,0,1,10,0,0,0,0,0,1,1,0,0,277,2,5,6,1,30,0,0,284,39,0,323,0.879256965944272,0.857585139318885,1997-07-01,0.38645,1997-07-01,81.0377468406144,"1997-07",22,313.187152777778
"23",23,"1997-08",41,149,30,69,4,3,10,1,0,0,0,0,2,2,1,0,266,2,5,3,0,23,1,0,263,43,0,306,0.859477124183007,0.869281045751634,1997-08-01,0.11899,1997-08-01,81.1155860140565,"1997-08",23,291.622569444444
"24",24,"1997-09",27,138,24,79,0,1,10,0,0,0,0,0,1,1,0,0,250,1,2,4,0,19,1,0,253,26,0,279,0.906810035842294,0.896057347670251,1997-09-01,0.54148,1997-09-01,80.9997718527384,"1997-09",24,294.728819444444
"25",25,"1997-10",42,186,33,100,1,1,10,0,1,1,0,0,3,2,0,0,329,3,3,2,0,28,1,0,320,53,0,373,0.857908847184987,0.882037533512064,1997-10-01,0.23612,1997-10-01,81.0361303585291,"1997-10",25,349.187152777778
"26",26,"1997-11",34,150,27,86,1,1,17,0,0,0,0,0,1,1,1,0,282,4,1,4,0,20,2,0,290,26,0,316,0.917721518987342,0.892405063291139,1997-11-01,0.40923,1997-11-01,81.029598668138,"1997-11",26,323.549652777778
"27",27,"1997-12",40,129,25,74,1,1,8,0,0,0,1,0,0,1,0,0,242,0,1,8,0,23,2,1,249,28,0,278,0.89568345323741,0.870503597122302,1997-12-01,0.27031,1997-12-01,81.0212118436801,"1997-12",27,305.157986111111
"28",28,"1998-01",37,131,25,74,1,1,7,0,0,0,0,0,2,1,0,0,247,2,4,1,0,19,0,0,240,36,0,276,0.869565217391304,0.894927536231884,1998-01-01,0.31822,1998-01-01,80.9274001820403,"1998-01",28,286.722569444444
"29",29,"1998-02",28,136,38,67,1,1,9,0,0,0,0,0,3,0,0,0,244,1,4,4,0,24,0,0,250,30,0,280,0.892857142857143,0.871428571428571,1998-02-01,0.36913,1998-02-01,80.9711144494712,"1998-02",29,295.166319444444
"30",30,"1998-03",35,156,28,75,0,1,15,0,0,0,0,0,4,0,0,0,272,1,2,2,1,27,1,0,260,50,0,310,0.838709677419355,0.87741935483871,1998-03-01,0.22439,1998-03-01,81.068127021979,"1998-03",30,287.099652777778
"31",31,"1998-04",44,132,24,68,0,0,8,0,0,0,0,0,2,2,0,0,242,0,2,3,0,24,1,0,232,44,0,276,0.840579710144927,0.876811594202899,1998-04-01,0.12679,1998-04-01,81.1069107803269,"1998-04",31,269.949652777778
"32",32,"1998-05",30,108,22,66,0,0,5,0,0,2,0,0,1,0,0,0,201,0,2,2,1,22,0,0,200,31,0,231,0.865800865800866,0.87012987012987,1998-05-01,0.27911,1998-05-01,81.1236366121295,"1998-05",32,235.201736111111
"33",33,"1998-06",32,147,29,81,0,1,8,0,0,0,0,0,0,0,1,2,266,0,1,4,0,24,0,0,259,39,0,298,0.869127516778524,0.89261744966443,1998-06-01,0.201,1998-06-01,81.1146427778792,"1998-06",33,294.426736111111
"34",34,"1998-07",39,139,29,67,4,1,7,0,0,0,0,0,4,1,0,0,261,1,0,2,0,17,0,0,237,49,0,286,0.828671328671329,0.912587412587413,1998-07-01,0.09423,1998-07-01,81.138945161563,"1998-07",34,276.187152777778
"35",35,"1998-08",31,147,34,79,1,1,3,0,0,0,0,0,1,1,0,0,265,2,3,2,0,21,1,0,262,34,0,296,0.885135135135135,0.89527027027027,1998-08-01,0.09668,1998-08-01,81.1488534923101,"1998-08",35,281.622569444444
"36",36,"1998-09",26,99,33,61,0,0,6,0,0,0,0,0,3,1,0,0,198,0,4,4,0,14,1,0,205,20,0,225,0.911111111111111,0.88,1998-09-01,-0.2574,1998-09-01,81.2159340445731,"1998-09",36,240.728819444444
"37",37,"1998-10",35,137,37,89,0,0,12,0,0,0,0,0,2,0,1,0,275,3,2,1,0,25,1,0,270,40,0,310,0.870967741935484,0.887096774193548,1998-10-01,-0.34612,1998-10-01,81.1332971005759,"1998-10",37,286.187152777778
"38",38,"1998-11",36,131,16,71,1,0,11,0,0,0,0,0,1,1,0,0,237,0,5,3,0,19,0,0,227,39,0,266,0.853383458646617,0.890977443609023,1998-11-01,-0.19241,1998-11-01,81.2533736269894,"1998-11",38,273.549652777778
"39",39,"1998-12",40,126,37,102,0,0,6,0,0,0,0,0,0,0,0,0,280,0,3,2,0,26,0,0,265,46,0,311,0.852090032154341,0.90032154340836,1998-12-01,-0.24461,1998-12-01,81.3132505947221,"1998-12",39,338.157986111111
"40",40,"1999-01",34,123,23,61,2,1,7,0,0,0,0,0,1,0,0,0,234,0,1,3,0,11,1,0,208,43,0,251,0.828685258964143,0.932270916334661,1999-01-01,-0.23003,1999-01-01,81.6762928697516,"1999-01",40,261.722569444444
"41",41,"1999-02",39,141,17,72,3,0,8,0,0,0,0,0,1,0,0,1,255,1,2,2,0,17,1,0,248,32,0,280,0.885714285714286,0.910714285714286,1999-02-01,0.1044,1999-02-01,81.4114486026247,"1999-02",41,295.166319444444
"42",42,"1999-03",44,159,37,88,1,2,8,0,0,0,1,0,0,0,0,0,300,2,3,4,0,29,0,0,304,35,0,339,0.896755162241888,0.884955752212389,1999-03-01,-0.10986,1999-03-01,81.3402622798691,"1999-03",42,316.099652777778
"43",43,"1999-04",32,138,26,78,1,0,5,0,1,0,0,0,1,1,1,0,241,1,2,2,0,29,1,0,232,48,0,280,0.828571428571429,0.860714285714286,1999-04-01,0.27061,1999-04-01,81.3644042843053,"1999-04",43,273.949652777778
"44",44,"1999-05",21,92,36,80,0,0,2,0,1,0,0,0,13,1,0,1,195,0,2,2,0,15,1,0,202,29,0,231,0.874458874458874,0.844155844155844,1999-05-01,0.03323,1999-05-01,81.4305094325458,"1999-05",44,235.201736111111
"45",45,"1999-06",42,111,27,72,1,0,7,1,0,0,0,0,5,1,0,1,225,2,2,2,0,20,1,0,221,39,0,260,0.85,0.865384615384615,1999-06-01,0.37394,1999-06-01,81.4026883956721,"1999-06",45,256.426736111111
"46",46,"1999-07",30,116,27,75,0,2,8,0,0,0,0,0,8,0,0,0,217,2,2,6,0,20,3,0,215,43,0,258,0.833333333333333,0.84108527131783,1999-07-01,0.14703,1999-07-01,81.1999985159189,"1999-07",46,248.187152777778
"47",47,"1999-08",40,111,33,81,0,2,6,0,0,0,0,0,1,0,1,0,247,1,2,2,0,19,0,0,233,40,0,273,0.853479853479853,0.904761904761905,1999-08-01,0.21643,1999-08-01,81.2708457200853,"1999-08",47,258.622569444444
"48",48,"1999-09",22,116,33,72,2,1,6,0,0,0,0,0,0,1,0,0,233,1,2,2,0,13,0,0,213,39,0,252,0.845238095238095,0.924603174603175,1999-09-01,0.02594,1999-09-01,81.291739443011,"1999-09",48,267.728819444444
"49",49,"1999-10",37,143,31,87,4,1,5,0,1,1,0,0,4,0,0,0,268,5,3,3,0,21,2,0,269,39,0,308,0.873376623376623,0.87012987012987,1999-10-01,0.39502,1999-10-01,81.4233297436547,"1999-10",49,284.187152777778
"50",50,"1999-11",38,126,33,72,4,1,3,0,0,0,0,0,2,1,2,0,244,2,6,1,0,18,1,0,239,38,0,277,0.862815884476534,0.88086642599278,1999-11-01,0.42392,1999-11-01,81.5853184481947,"1999-11",50,284.549652777778
"51",51,"1999-12",26,119,25,97,0,0,6,0,0,0,0,0,5,0,0,0,239,2,1,1,0,22,3,0,241,32,0,273,0.882783882783883,0.875457875457875,1999-12-01,0.85492,1999-12-01,81.4809895689449,"1999-12",51,300.157986111111
"52",52,"2000-01",22,118,36,59,1,0,5,0,0,0,0,0,2,0,0,0,209,2,1,4,0,22,1,0,221,20,0,241,0.91701244813278,0.867219917012448,2000-01-01,0.4311,2000-01-01,81.7231175244155,"2000-01",52,251.722569444444
"53",53,"2000-02",22,132,39,90,3,0,8,0,0,0,0,0,6,1,0,0,258,1,4,1,1,20,2,1,256,37,0,294,0.870748299319728,0.877551020408163,2000-02-01,0.28431,2000-02-01,81.7251724292132,"2000-02",53,309.166319444444
"54",54,"2000-03",51,162,33,96,0,1,10,0,0,0,0,0,6,0,0,0,305,4,3,1,1,30,3,0,306,47,0,353,0.86685552407932,0.864022662889518,2000-03-01,0.12658,2000-03-01,81.627290464598,"2000-03",54,330.099652777778
"55",55,"2000-04",39,148,18,88,5,0,9,0,0,0,0,0,4,0,1,0,270,0,1,5,0,26,0,1,262,44,0,307,0.853420195439739,0.879478827361563,2000-04-01,0.32171,2000-04-01,81.8222545278987,"2000-04",55,300.949652777778
"56",56,"2000-05",48,154,25,91,4,0,7,0,0,0,0,0,1,0,0,1,294,0,4,2,0,27,0,0,297,32,0,329,0.90273556231003,0.893617021276596,2000-05-01,0.31178,2000-05-01,81.4926137226681,"2000-05",56,333.201736111111
"57",57,"2000-06",42,142,23,89,0,0,7,0,1,0,0,0,4,0,0,0,263,3,1,2,0,29,0,0,261,42,0,303,0.861386138613861,0.867986798679868,2000-06-01,0.04629,2000-06-01,81.5549287702216,"2000-06",57,299.426736111111
"58",58,"2000-07",36,114,24,77,0,1,6,0,1,0,0,0,1,0,0,0,234,1,2,4,0,13,2,0,225,33,0,258,0.872093023255814,0.906976744186046,2000-07-01,-0.05777,2000-07-01,81.3242828491844,"2000-07",58,248.187152777778
"59",59,"2000-08",41,131,23,82,1,1,11,0,1,0,0,0,6,0,0,0,256,2,8,4,0,12,1,1,258,31,0,290,0.889655172413793,0.882758620689655,2000-08-01,-0.0566,2000-08-01,81.2043905776195,"2000-08",59,275.622569444444
"60",60,"2000-09",32,108,27,75,0,0,3,0,0,0,0,0,4,0,0,0,216,0,3,2,1,19,0,0,207,38,0,245,0.844897959183673,0.881632653061225,2000-09-01,0.05172,2000-09-01,81.2737905498593,"2000-09",60,260.728819444444
"61",61,"2000-10",37,149,30,86,2,1,3,0,1,0,0,0,4,0,0,1,272,2,0,5,0,23,0,0,271,37,0,308,0.87987012987013,0.883116883116883,2000-10-01,-0.24902,2000-10-01,81.2430427711741,"2000-10",61,284.187152777778
"62",62,"2000-11",37,148,29,89,0,0,6,0,0,0,0,1,2,1,0,0,274,1,3,5,1,21,0,0,276,33,0,309,0.893203883495146,0.886731391585761,2000-11-01,-0.24291,2000-11-01,81.405823601722,"2000-11",62,316.549652777778
"63",63,"2000-12",35,114,16,69,0,0,5,0,1,0,0,0,1,0,1,1,202,1,3,2,0,26,1,0,204,35,0,239,0.853556485355649,0.845188284518828,2000-12-01,-1.18696,2000-12-01,81.3959090794352,"2000-12",63,266.157986111111
"64",64,"2001-01",41,150,27,117,1,1,8,0,1,0,0,0,4,1,0,0,294,0,5,4,0,35,1,1,297,47,0,345,0.860869565217391,0.852173913043478,2001-01-01,-1.3047,2001-01-01,81.2354928127325,"2001-01",64,355.722569444444
"65",65,"2001-02",31,121,34,76,2,0,12,0,0,0,0,0,3,1,0,0,253,2,0,0,0,17,0,0,238,38,0,276,0.86231884057971,0.916666666666667,2001-02-01,-1.73752,2001-02-01,81.1421286495836,"2001-02",65,291.166319444444
"66",66,"2001-03",34,143,31,107,1,0,9,0,0,1,0,0,1,1,1,0,277,4,6,4,1,28,1,0,278,47,0,325,0.855384615384615,0.852307692307692,2001-03-01,-1.72024,2001-03-01,81.1542796199496,"2001-03",66,302.099652777778
"67",67,"2001-04",43,130,36,90,0,0,10,0,1,0,0,0,2,0,0,0,272,2,4,2,0,26,0,0,269,40,0,309,0.870550161812298,0.880258899676375,2001-04-01,-2.25946,2001-04-01,80.8854653125224,"2001-04",67,302.949652777778
"68",68,"2001-05",35,123,32,87,0,1,8,0,0,0,0,0,1,1,0,0,255,1,1,4,0,22,1,1,244,41,0,286,0.853146853146853,0.891608391608392,2001-05-01,-1.76448,2001-05-01,80.8733806951132,"2001-05",68,290.201736111111
"69",69,"2001-06",33,142,33,83,2,2,4,0,0,0,0,0,0,1,0,0,263,0,2,4,0,27,2,1,256,42,0,299,0.8561872909699,0.879598662207358,2001-06-01,-1.89824,2001-06-01,80.6537560755031,"2001-06",69,295.426736111111
"70",70,"2001-07",30,173,26,115,0,0,10,0,2,0,0,0,2,1,0,0,315,1,3,5,0,25,0,0,313,41,0,354,0.884180790960452,0.889830508474576,2001-07-01,-1.89834,2001-07-01,80.5559226665396,"2001-07",70,344.187152777778
"71",71,"2001-08",36,135,27,99,1,3,6,0,0,0,0,0,2,0,0,0,270,2,3,4,0,26,0,0,260,47,0,307,0.846905537459283,0.879478827361563,2001-08-01,-1.58525,2001-08-01,80.2710544619545,"2001-08",71,292.622569444444
"72",72,"2001-09",20,98,35,66,2,0,3,0,0,0,0,0,0,0,1,0,209,1,0,0,0,13,0,0,191,33,0,224,0.852678571428571,0.933035714285714,2001-09-01,-2.39105,2001-09-01,80.23799723646,"2001-09",72,239.728819444444
"73",73,"2001-10",36,139,24,106,2,0,11,0,0,0,0,0,2,0,0,1,273,0,4,7,0,31,0,0,277,41,0,318,0.871069182389937,0.858490566037736,2001-10-01,-2.90602,2001-10-01,79.9386230325213,"2001-10",73,294.187152777778
"74",74,"2001-11",32,142,27,80,1,0,11,0,0,0,0,0,4,1,0,0,253,2,0,4,2,25,2,0,260,33,0,293,0.887372013651877,0.863481228668942,2001-11-01,-2.55863,2001-11-01,79.6493236489942,"2001-11",74,300.549652777778
"75",75,"2001-12",22,106,17,77,0,5,1,0,0,1,0,0,6,0,0,1,197,2,2,3,0,16,0,0,196,32,0,228,0.859649122807018,0.864035087719298,2001-12-01,-1.9327,2001-12-01,79.7389311260804,"2001-12",75,255.157986111111
"76",76,"2002-01",31,116,30,98,0,1,8,0,0,0,0,0,4,0,1,0,247,3,1,1,0,26,1,0,238,46,0,284,0.838028169014085,0.869718309859155,2002-01-01,-1.74574,2002-01-01,79.543012014923,"2002-01",76,294.722569444444
"77",77,"2002-02",31,102,19,85,3,0,3,0,0,0,0,0,5,0,0,0,199,1,3,4,0,31,0,0,208,35,0,243,0.8559670781893,0.818930041152263,2002-02-01,-1.12891,2002-02-01,79.7696788767978,"2002-02",77,258.166319444444
"78",78,"2002-03",35,116,27,81,1,1,4,0,0,0,0,0,5,0,0,0,228,0,1,4,0,26,1,0,231,34,0,265,0.871698113207547,0.860377358490566,2002-03-01,-0.53842,2002-03-01,79.5876920817463,"2002-03",78,242.099652777778
"79",79,"2002-04",41,130,30,115,1,0,9,0,0,0,0,0,6,2,1,0,293,0,2,2,0,20,0,0,272,54,0,326,0.834355828220859,0.898773006134969,2002-04-01,-0.47509,2002-04-01,79.4517247814246,"2002-04",79,319.949652777778
"80",80,"2002-05",37,122,37,96,2,1,5,0,0,0,0,0,3,0,0,0,270,0,3,0,0,23,1,0,264,36,0,300,0.88,0.9,2002-05-01,-0.37311,2002-05-01,79.30457792446,"2002-05",80,304.201736111111
"81",81,"2002-06",38,121,25,62,1,0,4,0,0,0,0,0,5,1,1,0,221,2,1,2,1,17,0,0,212,39,0,251,0.844621513944223,0.880478087649402,2002-06-01,-0.52891,2002-06-01,79.2349040598908,"2002-06",81,247.426736111111
"82",82,"2002-07",26,141,25,93,3,1,5,0,0,1,0,0,1,2,0,1,257,2,3,4,0,20,3,0,258,36,0,294,0.877551020408163,0.874149659863946,2002-07-01,-0.99017,2002-07-01,79.13169124966,"2002-07",82,284.187152777778
"83",83,"2002-08",32,118,22,98,2,1,12,0,0,0,0,0,2,1,1,0,256,0,1,3,0,21,0,0,237,48,0,285,0.831578947368421,0.898245614035088,2002-08-01,-0.95663,2002-08-01,79.3609884826394,"2002-08",83,270.622569444444
"84",84,"2002-09",27,101,25,57,2,0,3,0,0,1,0,0,0,0,0,1,190,1,1,4,1,16,0,1,185,29,0,215,0.86046511627907,0.883720930232558,2002-09-01,-0.85537,2002-09-01,79.3738663772832,"2002-09",84,230.728819444444
"85",85,"2002-10",34,164,30,100,1,0,12,0,0,0,0,0,3,1,1,0,302,1,5,4,0,23,1,1,291,49,0,341,0.853372434017595,0.885630498533724,2002-10-01,-1.23975,2002-10-01,79.2286231843118,"2002-10",85,317.187152777778
"86",86,"2002-11",26,118,27,70,1,1,5,0,0,0,0,0,3,1,0,1,221,1,2,2,0,17,0,0,214,34,0,248,0.862903225806452,0.891129032258065,2002-11-01,-1.13359,2002-11-01,78.8257515055983,"2002-11",86,255.549652777778
"87",87,"2002-12",20,108,18,67,4,1,8,0,0,0,0,0,0,2,0,0,198,0,1,2,0,22,1,1,189,36,0,226,0.836283185840708,0.876106194690266,2002-12-01,-1.01128,2002-12-01,79.0097658646514,"2002-12",87,253.157986111111
"88",88,"2003-01",36,113,27,88,3,2,8,0,0,1,0,0,3,1,0,4,247,0,2,2,1,16,0,0,233,44,0,277,0.84115523465704,0.891696750902527,2003-01-01,-1.07995,2003-01-01,78.9622680970816,"2003-01",88,287.722569444444
"89",89,"2003-02",15,112,33,68,1,2,8,0,0,0,0,0,0,3,0,0,205,1,5,3,0,21,1,1,207,31,0,239,0.866108786610879,0.857740585774059,2003-02-01,-1.55772,2003-02-01,78.8808686763765,"2003-02",89,254.166319444444
"90",90,"2003-03",24,121,26,92,9,1,6,0,0,0,0,0,4,1,0,0,245,2,0,4,0,23,0,0,236,43,0,279,0.845878136200717,0.878136200716846,2003-03-01,-1.25718,2003-03-01,78.950841229356,"2003-03",90,256.099652777778
"91",91,"2003-04",32,94,30,64,8,0,6,0,0,0,0,0,1,1,0,0,200,1,1,7,0,22,1,4,195,35,0,234,0.833333333333333,0.854700854700855,2003-04-01,-1.38018,2003-04-01,79.0145071335744,"2003-04",91,227.949652777778
"92",92,"2003-05",13,97,23,60,19,2,2,0,0,0,0,1,2,0,1,0,193,1,4,4,0,10,0,10,168,38,0,216,0.777777777777778,0.893518518518518,2003-05-01,-0.53636,2003-05-01,78.7079218558261,"2003-05",92,220.201736111111
"93",93,"2003-06",27,93,33,66,33,0,1,0,0,0,0,0,0,0,0,0,226,4,6,1,0,15,1,7,211,35,0,253,0.83399209486166,0.893280632411067,2003-06-01,-0.43436,2003-06-01,78.8331455657696,"2003-06",93,249.426736111111
"94",94,"2003-07",22,94,24,67,29,2,0,0,0,0,0,0,0,1,0,1,210,3,1,5,0,17,0,7,201,30,0,238,0.84453781512605,0.882352941176471,2003-07-01,-0.38808,2003-07-01,78.7003230385792,"2003-07",94,228.187152777778
"95",95,"2003-08",30,110,22,77,29,1,2,0,0,0,0,0,2,1,0,0,250,2,2,3,0,11,0,7,230,34,0,271,0.848708487084871,0.922509225092251,2003-08-01,-0.28585,2003-08-01,78.7127084581938,"2003-08",95,256.622569444444
"96",96,"2003-09",24,90,24,68,7,2,8,0,0,0,0,0,0,0,0,0,208,0,1,3,0,11,0,2,191,30,0,223,0.856502242152466,0.932735426008969,2003-09-01,-0.34229,2003-09-01,78.616381380165,"2003-09",96,238.728819444444
"97",97,"2003-10",31,121,26,74,7,1,24,0,0,0,0,0,0,0,0,0,252,1,3,3,0,23,2,9,235,40,0,284,0.827464788732394,0.887323943661972,2003-10-01,-0.40366,2003-10-01,78.6657646235049,"2003-10",97,260.187152777778
"98",98,"2003-11",29,99,25,57,1,0,20,0,0,0,0,0,0,0,0,0,207,1,2,3,0,18,0,11,192,28,0,231,0.831168831168831,0.896103896103896,2003-11-01,0.06295,2003-11-01,78.8431984891785,"2003-11",98,238.549652777778
"99",99,"2003-12",25,92,21,66,2,2,19,0,0,0,0,0,1,1,0,0,198,1,6,7,0,12,1,6,196,25,0,227,0.863436123348018,0.872246696035242,2003-12-01,0.3672,2003-12-01,78.8827054685647,"2003-12",99,254.157986111111
"100",100,"2004-01",19,62,22,77,4,0,35,0,0,0,0,0,2,0,0,0,192,1,1,5,0,18,0,10,168,41,0,219,0.767123287671233,0.876712328767123,2004-01-01,0.21256,2004-01-01,78.9385014542046,"2004-01",100,229.722569444444
"101",101,"2004-02",26,94,20,70,3,1,36,0,0,0,0,0,0,2,0,1,221,2,3,1,0,18,2,4,209,37,0,250,0.836,0.884,2004-02-01,0.15596,2004-02-01,78.8142748131563,"2004-02",101,265.166319444444
"102",102,"2004-03",32,115,27,81,4,4,33,0,0,0,0,0,3,1,0,0,267,3,3,6,0,12,1,11,239,46,0,296,0.807432432432432,0.902027027027027,2004-03-01,0.34559,2004-03-01,78.7362155213809,"2004-03",102,273.099652777778
"103",103,"2004-04",24,93,25,56,3,3,14,0,0,0,0,0,3,3,0,0,189,2,2,0,2,17,0,6,184,28,0,218,0.844036697247706,0.86697247706422,2004-04-01,0.42928,2004-04-01,78.888622841587,"2004-04",103,211.949652777778
"104",104,"2004-05",25,87,20,59,5,0,30,0,1,0,0,0,1,2,0,0,204,2,2,2,0,12,0,10,182,34,0,226,0.805309734513274,0.902654867256637,2004-05-01,0.65482,2004-05-01,78.9269205306794,"2004-05",104,230.201736111111
"105",105,"2004-06",34,105,17,72,1,0,31,0,0,0,0,0,2,0,0,0,223,1,2,2,2,24,4,10,219,31,0,260,0.842307692307692,0.857692307692308,2004-06-01,0.61858,2004-06-01,79.0399765488908,"2004-06",105,256.426736111111
