"","DATEym","Freq.101 - 200 Employees","Freq.15 - 100 Employees","Freq.201 - 500 Employees","Freq.501+ Employees","Freq.Under 15 Employees","Freq.Unknown Number Of Employees","Freq.Elected Official/Fed. Govt","Freq.Elected Official/State-Local","Freq.Federal Government Agency","Freq.Joint Apprenticeship","Freq.Other Firm Type","Freq.Private College/University","Freq.Private College/University (Inactive Code)","Freq.Private Elem/Secondary School","Freq.Private Employer","Freq.Private Employment Agency","Freq.Public College/University","Freq.Public Elem/Secondary School","Freq.Public Employment Agency","Freq.State/Local Govt","Freq.Union","Freq.CP Sex Not Available/Applicable","Freq.Female","Freq.Male","Count.Report","prop.fem","prop.priv","DATE.x","FRBKCLMCIM","LREM25TTUSM156S"
"31","1998-04",44,132,24,68,0,8,0,0,0,0,2,2,0,0,242,0,2,3,0,24,1,0,232,44,276,0.840579710144927,0.876811594202899,1998-04-01,0.12679,81.1069107803269
"32","1998-05",30,108,22,66,0,5,0,0,2,0,1,0,0,0,201,0,2,2,1,22,0,0,200,31,231,0.865800865800866,0.87012987012987,1998-05-01,0.27911,81.1236366121295
"33","1998-06",32,147,29,81,1,8,0,0,0,0,0,0,1,2,266,0,1,4,0,24,0,0,259,39,298,0.869127516778524,0.89261744966443,1998-06-01,0.201,81.1146427778792
"34","1998-07",39,139,29,67,1,7,0,0,0,0,4,1,0,0,261,1,0,2,0,17,0,0,237,49,286,0.828671328671329,0.912587412587413,1998-07-01,0.09423,81.138945161563
"35","1998-08",31,147,34,79,1,3,0,0,0,0,1,1,0,0,265,2,3,2,0,21,1,0,262,34,296,0.885135135135135,0.89527027027027,1998-08-01,0.09668,81.1488534923101
"36","1998-09",26,99,33,61,0,6,0,0,0,0,3,1,0,0,198,0,4,4,0,14,1,0,205,20,225,0.911111111111111,0.88,1998-09-01,-0.2574,81.2159340445731
"37","1998-10",35,137,37,89,0,12,0,0,0,0,2,0,1,0,275,3,2,1,0,25,1,0,270,40,310,0.870967741935484,0.887096774193548,1998-10-01,-0.34612,81.1332971005759
"38","1998-11",36,131,16,71,0,11,0,0,0,0,1,1,0,0,237,0,5,3,0,19,0,0,227,39,266,0.853383458646617,0.890977443609023,1998-11-01,-0.19241,81.2533736269894
"39","1998-12",40,126,37,102,0,6,0,0,0,0,0,0,0,0,280,0,3,2,0,26,0,0,265,46,311,0.852090032154341,0.90032154340836,1998-12-01,-0.24461,81.3132505947221
"40","1999-01",34,123,23,61,1,7,0,0,0,0,1,0,0,0,234,0,1,3,0,11,1,0,208,43,251,0.828685258964143,0.932270916334661,1999-01-01,-0.23003,81.6762928697516
"41","1999-02",39,141,17,72,0,8,0,0,0,0,1,0,0,1,255,1,2,2,0,17,1,0,248,32,280,0.885714285714286,0.910714285714286,1999-02-01,0.1044,81.4114486026247
"42","1999-03",44,159,37,88,2,8,0,0,0,1,0,0,0,0,300,2,3,4,0,29,0,0,304,35,339,0.896755162241888,0.884955752212389,1999-03-01,-0.10986,81.3402622798691
"43","1999-04",32,138,26,78,0,5,0,1,0,0,1,1,1,0,241,1,2,2,0,29,1,0,232,48,280,0.828571428571429,0.860714285714286,1999-04-01,0.27061,81.3644042843053
"44","1999-05",21,92,36,80,0,2,0,1,0,0,13,1,0,1,195,0,2,2,0,15,1,0,202,29,231,0.874458874458874,0.844155844155844,1999-05-01,0.03323,81.4305094325458
"45","1999-06",42,111,27,72,0,7,1,0,0,0,5,1,0,1,225,2,2,2,0,20,1,0,221,39,260,0.85,0.865384615384615,1999-06-01,0.37394,81.4026883956721
"46","1999-07",30,116,27,75,2,8,0,0,0,0,8,0,0,0,217,2,2,6,0,20,3,0,215,43,258,0.833333333333333,0.84108527131783,1999-07-01,0.14703,81.1999985159189
"47","1999-08",40,111,33,81,2,6,0,0,0,0,1,0,1,0,247,1,2,2,0,19,0,0,233,40,273,0.853479853479853,0.904761904761905,1999-08-01,0.21643,81.2708457200853
"48","1999-09",22,116,33,72,1,6,0,0,0,0,0,1,0,0,233,1,2,2,0,13,0,0,213,39,252,0.845238095238095,0.924603174603175,1999-09-01,0.02594,81.291739443011
"49","1999-10",37,143,31,87,1,5,0,1,1,0,4,0,0,0,268,5,3,3,0,21,2,0,269,39,308,0.873376623376623,0.87012987012987,1999-10-01,0.39502,81.4233297436547
"50","1999-11",38,126,33,72,1,3,0,0,0,0,2,1,2,0,244,2,6,1,0,18,1,0,239,38,277,0.862815884476534,0.88086642599278,1999-11-01,0.42392,81.5853184481947
"51","1999-12",26,119,25,97,0,6,0,0,0,0,5,0,0,0,239,2,1,1,0,22,3,0,241,32,273,0.882783882783883,0.875457875457875,1999-12-01,0.85492,81.4809895689449
"52","2000-01",22,118,36,59,0,5,0,0,0,0,2,0,0,0,209,2,1,4,0,22,1,0,221,20,241,0.91701244813278,0.867219917012448,2000-01-01,0.4311,81.7231175244155
"53","2000-02",22,132,39,90,0,8,0,0,0,0,6,1,0,0,258,1,4,1,1,20,2,1,256,37,294,0.870748299319728,0.877551020408163,2000-02-01,0.28431,81.7251724292132
"54","2000-03",51,162,33,96,1,10,0,0,0,0,6,0,0,0,305,4,3,1,1,30,3,0,306,47,353,0.86685552407932,0.864022662889518,2000-03-01,0.12658,81.627290464598
"55","2000-04",39,148,18,88,0,9,0,0,0,0,4,0,1,0,270,0,1,5,0,26,0,1,262,44,307,0.853420195439739,0.879478827361563,2000-04-01,0.32171,81.8222545278987
"56","2000-05",48,154,25,91,0,7,0,0,0,0,1,0,0,1,294,0,4,2,0,27,0,0,297,32,329,0.90273556231003,0.893617021276596,2000-05-01,0.31178,81.4926137226681
"57","2000-06",42,142,23,89,0,7,0,1,0,0,4,0,0,0,263,3,1,2,0,29,0,0,261,42,303,0.861386138613861,0.867986798679868,2000-06-01,0.04629,81.5549287702216
"58","2000-07",36,114,24,77,1,6,0,1,0,0,1,0,0,0,234,1,2,4,0,13,2,0,225,33,258,0.872093023255814,0.906976744186046,2000-07-01,-0.05777,81.3242828491844
"59","2000-08",41,131,23,82,1,11,0,1,0,0,6,0,0,0,256,2,8,4,0,12,1,1,258,31,290,0.889655172413793,0.882758620689655,2000-08-01,-0.0566,81.2043905776195
"60","2000-09",32,108,27,75,0,3,0,0,0,0,4,0,0,0,216,0,3,2,1,19,0,0,207,38,245,0.844897959183673,0.881632653061225,2000-09-01,0.05172,81.2737905498593
"61","2000-10",37,149,30,86,1,3,0,1,0,0,4,0,0,1,272,2,0,5,0,23,0,0,271,37,308,0.87987012987013,0.883116883116883,2000-10-01,-0.24902,81.2430427711741
"62","2000-11",37,148,29,89,0,6,0,0,0,0,2,1,0,0,274,1,3,5,1,21,0,0,276,33,309,0.893203883495146,0.886731391585761,2000-11-01,-0.24291,81.405823601722
"63","2000-12",35,114,16,69,0,5,0,1,0,0,1,0,1,1,202,1,3,2,0,26,1,0,204,35,239,0.853556485355649,0.845188284518828,2000-12-01,-1.18696,81.3959090794352
"64","2001-01",41,150,27,117,1,8,0,1,0,0,4,1,0,0,294,0,5,4,0,35,1,1,297,47,345,0.860869565217391,0.852173913043478,2001-01-01,-1.3047,81.2354928127325
"65","2001-02",31,121,34,76,0,12,0,0,0,0,3,1,0,0,253,2,0,0,0,17,0,0,238,38,276,0.86231884057971,0.916666666666667,2001-02-01,-1.73752,81.1421286495836
"66","2001-03",34,143,31,107,0,9,0,0,1,0,1,1,1,0,277,4,6,4,1,28,1,0,278,47,325,0.855384615384615,0.852307692307692,2001-03-01,-1.72024,81.1542796199496
"67","2001-04",43,130,36,90,0,10,0,1,0,0,2,0,0,0,272,2,4,2,0,26,0,0,269,40,309,0.870550161812298,0.880258899676375,2001-04-01,-2.25946,80.8854653125224
"68","2001-05",35,123,32,87,1,8,0,0,0,0,1,1,0,0,255,1,1,4,0,22,1,1,244,41,286,0.853146853146853,0.891608391608392,2001-05-01,-1.76448,80.8733806951132
"69","2001-06",33,142,33,83,2,4,0,0,0,0,0,1,0,0,263,0,2,4,0,27,2,1,256,42,299,0.8561872909699,0.879598662207358,2001-06-01,-1.89824,80.6537560755031
"70","2001-07",30,173,26,115,0,10,0,2,0,0,2,1,0,0,315,1,3,5,0,25,0,0,313,41,354,0.884180790960452,0.889830508474576,2001-07-01,-1.89834,80.5559226665396
"71","2001-08",36,135,27,99,3,6,0,0,0,0,2,0,0,0,270,2,3,4,0,26,0,0,260,47,307,0.846905537459283,0.879478827361563,2001-08-01,-1.58525,80.2710544619545
"72","2001-09",20,98,35,66,0,3,0,0,0,0,0,0,1,0,209,1,0,0,0,13,0,0,191,33,224,0.852678571428571,0.933035714285714,2001-09-01,-2.39105,80.23799723646
"73","2001-10",36,139,24,106,0,11,0,0,0,0,2,0,0,1,273,0,4,7,0,31,0,0,277,41,318,0.871069182389937,0.858490566037736,2001-10-01,-2.90602,79.9386230325213
"74","2001-11",32,142,27,80,0,11,0,0,0,0,4,1,0,0,253,2,0,4,2,25,2,0,260,33,293,0.887372013651877,0.863481228668942,2001-11-01,-2.55863,79.6493236489942
"75","2001-12",22,106,17,77,5,1,0,0,1,0,6,0,0,1,197,2,2,3,0,16,0,0,196,32,228,0.859649122807018,0.864035087719298,2001-12-01,-1.9327,79.7389311260804
"76","2002-01",31,116,30,98,1,8,0,0,0,0,4,0,1,0,247,3,1,1,0,26,1,0,238,46,284,0.838028169014085,0.869718309859155,2002-01-01,-1.74574,79.543012014923
"77","2002-02",31,102,19,85,0,3,0,0,0,0,5,0,0,0,199,1,3,4,0,31,0,0,208,35,243,0.8559670781893,0.818930041152263,2002-02-01,-1.12891,79.7696788767978
"78","2002-03",35,116,27,81,1,4,0,0,0,0,5,0,0,0,228,0,1,4,0,26,1,0,231,34,265,0.871698113207547,0.860377358490566,2002-03-01,-0.53842,79.5876920817463
"79","2002-04",41,130,30,115,0,9,0,0,0,0,6,2,1,0,293,0,2,2,0,20,0,0,272,54,326,0.834355828220859,0.898773006134969,2002-04-01,-0.47509,79.4517247814246
"80","2002-05",37,122,37,96,1,5,0,0,0,0,3,0,0,0,270,0,3,0,0,23,1,0,264,36,300,0.88,0.9,2002-05-01,-0.37311,79.30457792446
"81","2002-06",38,121,25,62,0,4,0,0,0,0,5,1,1,0,221,2,1,2,1,17,0,0,212,39,251,0.844621513944223,0.880478087649402,2002-06-01,-0.52891,79.2349040598908
"82","2002-07",26,141,25,93,1,5,0,0,1,0,1,2,0,1,257,2,3,4,0,20,3,0,258,36,294,0.877551020408163,0.874149659863946,2002-07-01,-0.99017,79.13169124966
"83","2002-08",32,118,22,98,1,12,0,0,0,0,2,1,1,0,256,0,1,3,0,21,0,0,237,48,285,0.831578947368421,0.898245614035088,2002-08-01,-0.95663,79.3609884826394
"84","2002-09",27,101,25,57,0,3,0,0,1,0,0,0,0,1,190,1,1,4,1,16,0,1,185,29,215,0.86046511627907,0.883720930232558,2002-09-01,-0.85537,79.3738663772832
"85","2002-10",34,164,30,100,0,12,0,0,0,0,3,1,1,0,302,1,5,4,0,23,1,1,291,49,341,0.853372434017595,0.885630498533724,2002-10-01,-1.23975,79.2286231843118
"86","2002-11",26,118,27,70,1,5,0,0,0,0,3,1,0,1,221,1,2,2,0,17,0,0,214,34,248,0.862903225806452,0.891129032258065,2002-11-01,-1.13359,78.8257515055983
"87","2002-12",20,108,18,67,1,8,0,0,0,0,0,2,0,0,198,0,1,2,0,22,1,1,189,36,226,0.836283185840708,0.876106194690266,2002-12-01,-1.01128,79.0097658646514
"88","2003-01",36,113,27,88,2,8,0,0,1,0,3,1,0,4,247,0,2,2,1,16,0,0,233,44,277,0.84115523465704,0.891696750902527,2003-01-01,-1.07995,78.9622680970816
"89","2003-02",15,112,33,68,2,8,0,0,0,0,0,3,0,0,205,1,5,3,0,21,1,1,207,31,239,0.866108786610879,0.857740585774059,2003-02-01,-1.55772,78.8808686763765
"90","2003-03",24,121,26,92,1,6,0,0,0,0,4,1,0,0,245,2,0,4,0,23,0,0,236,43,279,0.845878136200717,0.878136200716846,2003-03-01,-1.25718,78.950841229356
"91","2003-04",32,94,30,64,0,6,0,0,0,0,1,1,0,0,200,1,1,7,0,22,1,4,195,35,234,0.833333333333333,0.854700854700855,2003-04-01,-1.38018,79.0145071335744
"92","2003-05",13,97,23,60,2,2,0,0,0,0,2,0,1,0,193,1,4,4,0,10,0,10,168,38,216,0.777777777777778,0.893518518518518,2003-05-01,-0.53636,78.7079218558261
"93","2003-06",27,93,33,66,0,1,0,0,0,0,0,0,0,0,226,4,6,1,0,15,1,7,211,35,253,0.83399209486166,0.893280632411067,2003-06-01,-0.43436,78.8331455657696
"94","2003-07",22,94,24,67,2,0,0,0,0,0,0,1,0,1,210,3,1,5,0,17,0,7,201,30,238,0.84453781512605,0.882352941176471,2003-07-01,-0.38808,78.7003230385792
"95","2003-08",30,110,22,77,1,2,0,0,0,0,2,1,0,0,250,2,2,3,0,11,0,7,230,34,271,0.848708487084871,0.922509225092251,2003-08-01,-0.28585,78.7127084581938
"96","2003-09",24,90,24,68,2,8,0,0,0,0,0,0,0,0,208,0,1,3,0,11,0,2,191,30,223,0.856502242152466,0.932735426008969,2003-09-01,-0.34229,78.616381380165
"97","2003-10",31,121,26,74,1,24,0,0,0,0,0,0,0,0,252,1,3,3,0,23,2,9,235,40,284,0.827464788732394,0.887323943661972,2003-10-01,-0.40366,78.6657646235049
"98","2003-11",29,99,25,57,0,20,0,0,0,0,0,0,0,0,207,1,2,3,0,18,0,11,192,28,231,0.831168831168831,0.896103896103896,2003-11-01,0.06295,78.8431984891785
"99","2003-12",25,92,21,66,2,19,0,0,0,0,1,1,0,0,198,1,6,7,0,12,1,6,196,25,227,0.863436123348018,0.872246696035242,2003-12-01,0.3672,78.8827054685647
"100","2004-01",19,62,22,77,0,35,0,0,0,0,2,0,0,0,192,1,1,5,0,18,0,10,168,41,219,0.767123287671233,0.876712328767123,2004-01-01,0.21256,78.9385014542046
"101","2004-02",26,94,20,70,1,36,0,0,0,0,0,2,0,1,221,2,3,1,0,18,2,4,209,37,250,0.836,0.884,2004-02-01,0.15596,78.8142748131563
"102","2004-03",32,115,27,81,4,33,0,0,0,0,3,1,0,0,267,3,3,6,0,12,1,11,239,46,296,0.807432432432432,0.902027027027027,2004-03-01,0.34559,78.7362155213809
"103","2004-04",24,93,25,56,3,14,0,0,0,0,3,3,0,0,189,2,2,0,2,17,0,6,184,28,218,0.844036697247706,0.86697247706422,2004-04-01,0.42928,78.888622841587
"104","2004-05",25,87,20,59,0,30,0,1,0,0,1,2,0,0,204,2,2,2,0,12,0,10,182,34,226,0.805309734513274,0.902654867256637,2004-05-01,0.65482,78.9269205306794
"105","2004-06",34,105,17,72,0,31,0,0,0,0,2,0,0,0,223,1,2,2,2,24,4,10,219,31,260,0.842307692307692,0.857692307692308,2004-06-01,0.61858,79.0399765488908
"106","2004-07",22,82,24,87,1,22,0,0,0,0,1,1,0,0,201,1,3,2,3,27,0,9,194,36,239,0.811715481171548,0.841004184100418,2004-07-01,0.56351,79.160042077011
"107","2004-08",35,113,25,71,1,23,0,0,0,0,1,1,0,0,242,3,2,3,0,17,0,13,213,43,269,0.79182156133829,0.899628252788104,2004-08-01,0.27796,79.0312456362007
"108","2004-09",27,113,20,60,0,44,0,0,0,0,0,0,0,0,235,4,1,2,5,18,0,8,212,45,265,0.8,0.886792452830189,2004-09-01,0.33345,79.0484760394864
"109","2004-10",23,114,32,63,1,32,0,0,0,0,1,1,0,0,236,3,5,5,1,15,0,13,215,39,267,0.805243445692884,0.883895131086142,2004-10-01,0.34664,79.0541503734606
"110","2004-11",30,109,20,75,2,33,0,0,0,0,2,1,0,1,238,2,1,2,3,22,0,15,218,39,272,0.801470588235294,0.875,2004-11-01,0.2408,79.1739456326985
"111","2004-12",24,78,22,61,1,26,0,0,0,0,0,1,0,0,195,1,0,1,0,15,0,5,174,34,213,0.816901408450704,0.915492957746479,2004-12-01,0.24324,78.9925262506871
"112","2005-01",26,94,13,57,1,19,0,0,0,0,1,0,0,0,185,1,3,2,3,16,1,9,176,27,212,0.830188679245283,0.872641509433962,2005-01-01,0.11962,79.0986573669991
"113","2005-02",20,93,17,64,2,27,0,0,0,0,2,1,0,0,200,1,3,1,1,15,3,10,175,42,227,0.770925110132159,0.881057268722467,2005-02-01,0.24596,79.1624882740056
"114","2005-03",36,92,23,56,0,37,0,0,0,0,1,1,0,1,220,2,4,2,1,13,0,10,203,32,245,0.828571428571429,0.897959183673469,2005-03-01,0.10894,79.1386642361288
"115","2005-04",23,104,29,98,1,29,0,0,0,0,2,3,0,2,259,2,2,3,0,12,1,8,240,38,286,0.839160839160839,0.905594405594406,2005-04-01,0.29142,79.3819363513321
"116","2005-05",21,99,16,53,0,30,0,0,0,0,2,0,0,0,195,1,1,2,1,22,1,7,175,43,225,0.777777777777778,0.866666666666667,2005-05-01,-0.01483,79.443596032804
"117","2005-06",22,100,26,61,0,33,0,0,0,0,1,0,0,0,224,0,2,2,0,12,1,6,210,26,242,0.867768595041322,0.925619834710744,2005-06-01,0.03229,79.2376402299835
"118","2005-07",26,106,24,75,0,31,0,0,0,0,2,0,0,0,240,0,2,4,1,14,1,11,222,31,264,0.840909090909091,0.909090909090909,2005-07-01,-0.0077,79.4415698479633
"119","2005-08",28,116,19,59,1,29,0,0,0,0,0,2,0,0,234,2,2,4,2,9,0,11,210,34,255,0.823529411764706,0.917647058823529,2005-08-01,0.15395,79.6304493393664
"120","2005-09",20,71,27,63,2,22,0,0,0,0,1,0,0,0,185,0,3,2,1,13,1,5,173,28,206,0.839805825242718,0.898058252427185,2005-09-01,-0.15232,79.4578096379624
"121","2005-10",17,99,14,57,0,26,0,0,0,0,1,0,0,0,193,1,5,1,0,12,0,7,169,37,213,0.793427230046948,0.906103286384977,2005-10-01,-0.20915,79.4136160189067
"122","2005-11",23,111,12,52,0,27,0,0,0,0,4,0,0,0,201,1,2,4,1,15,0,9,187,32,228,0.820175438596491,0.881578947368421,2005-11-01,0.11811,79.326452155502
"123","2005-12",20,89,18,53,0,17,0,0,0,0,0,2,0,0,174,4,1,2,0,14,0,2,164,31,197,0.83248730964467,0.883248730964467,2005-12-01,-0.19736,79.4038409158521
"124","2006-01",18,90,20,57,0,23,0,0,0,0,1,1,0,0,180,2,3,1,2,20,0,5,179,26,210,0.852380952380952,0.857142857142857,2006-01-01,0.07887,79.4812698097738
"125","2006-02",20,100,18,51,1,25,0,0,0,0,1,2,0,1,191,0,1,3,0,18,1,5,179,34,218,0.821100917431193,0.876146788990826,2006-02-01,-0.07272,79.5237237443395
"126","2006-03",23,109,21,69,2,44,0,0,0,0,1,0,0,1,252,0,3,1,0,14,0,7,224,41,272,0.823529411764706,0.926470588235294,2006-03-01,0.04912,79.6823084483528
"127","2006-04",30,98,13,62,0,23,0,0,0,0,3,0,0,0,212,0,2,1,0,11,1,3,188,39,230,0.817391304347826,0.921739130434783,2006-04-01,0.03036,79.5932452764006
"128","2006-05",15,101,26,67,1,38,0,0,0,0,0,0,0,0,222,3,0,5,2,20,0,6,207,39,252,0.821428571428571,0.880952380952381,2006-05-01,-0.09163,79.6725199661244
"129","2006-06",29,106,14,79,2,24,0,0,0,0,4,0,0,0,230,1,1,4,0,18,1,10,219,30,259,0.845559845559846,0.888030888030888,2006-06-01,-0.27394,79.7515307681088
"130","2006-07",22,113,22,49,1,29,0,0,0,0,0,1,0,1,211,1,2,3,1,17,0,6,191,40,237,0.805907172995781,0.890295358649789,2006-07-01,-0.12733,79.7449296233625
"131","2006-08",19,115,21,69,0,22,0,0,0,0,0,0,0,0,223,1,0,3,1,21,0,6,210,33,249,0.843373493975904,0.895582329317269,2006-08-01,-0.23744,79.7401004195623
"132","2006-09",24,116,27,60,1,23,0,0,0,0,0,0,0,0,227,4,2,1,2,16,1,7,211,35,253,0.83399209486166,0.897233201581028,2006-09-01,-0.3111,79.8979537238104
"133","2006-10",17,118,19,64,2,28,0,0,0,0,1,0,0,0,223,0,2,6,0,19,1,4,219,29,252,0.869047619047619,0.884920634920635,2006-10-01,-0.26064,80.2134051248384
"134","2006-11",22,115,22,67,1,37,0,0,0,0,0,0,0,1,243,1,2,3,0,19,0,4,223,42,269,0.828996282527881,0.903345724907063,2006-11-01,-0.31071,80.0983122737295
"135","2006-12",10,69,17,62,1,30,0,0,0,0,1,0,0,0,167,1,2,2,0,17,0,4,158,28,190,0.831578947368421,0.878947368421053,2006-12-01,-0.28067,80.1370234792814
"136","2007-01",14,111,17,65,0,29,0,0,0,0,1,1,0,0,217,0,1,1,0,16,2,5,193,41,239,0.807531380753138,0.907949790794979,2007-01-01,0.00276,80.1570112720318
"137","2007-02",25,104,17,57,2,33,0,1,0,0,0,0,0,0,211,2,1,2,1,21,0,7,204,28,239,0.853556485355649,0.882845188284519,2007-02-01,-0.2103,79.976237321886
"138","2007-03",24,74,27,81,2,28,0,0,0,0,0,0,0,0,212,1,4,1,2,19,1,5,191,44,240,0.795833333333333,0.883333333333333,2007-03-01,-0.03935,80.1597495602628
"139","2007-04",34,85,20,59,2,25,0,0,0,0,2,1,0,0,205,0,2,2,0,16,1,7,182,40,229,0.794759825327511,0.895196506550218,2007-04-01,-0.23376,80.0211142175286
"140","2007-05",29,85,20,83,3,31,0,0,0,0,1,2,0,2,223,5,1,5,1,20,0,6,216,38,260,0.830769230769231,0.857692307692308,2007-05-01,-0.1752,80.0785145140326
